season,Div,Date,Time,kickoff,match_id,HomeTeam,AwayTeam,Referee,FTHG,FTAG,FTR,HTHG,HTAG,home_win,draw,away_win,total_goals,over_2_5,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,total_corners,total_cards,total_shots,total_fouls,AvgH,AvgD,AvgA,MaxH,MaxD,MaxA
2016-17,E0,2016-09-18,00:00,2016-09-18 00:00:00,20160918_southampton_swansea,Southampton,Swansea,M Jones,1,0,H,0,0,1,0,0,1,0,19,9,6,3,14,9,7,1,1,1,0,0,8,2,28,23,,,,,,
2016-17,E0,2016-09-18,00:00,2016-09-18 00:00:00,20160918_tottenham_sunderland,Tottenham,Sunderland,M Dean,1,0,H,0,0,1,0,0,1,0,31,6,9,2,7,16,14,1,1,5,0,1,15,7,37,23,,,,,,
2016-17,E0,2016-09-18,00:00,2016-09-18 00:00:00,20160918_watford_manunited,Watford,Man United,M Oliver,3,1,H,1,0,1,0,0,4,1,10,15,5,2,14,19,5,7,3,4,0,0,12,7,25,33,,,,,,
2016-17,E0,2016-09-24,00:00,2016-09-24 00:00:00,20160924_swansea_mancity,Swansea,Man City,N Swarbrick,1,3,A,1,1,0,0,1,4,1,13,18,5,4,15,9,2,7,2,4,0,0,9,6,31,24,,,,,,
2016-17,E0,2016-09-24,00:00,2016-09-24 00:00:00,20160924_stoke_westbrom,Stoke,West Brom,M Atkinson,1,1,D,0,0,0,1,0,2,0,12,9,2,3,9,13,6,6,3,4,0,0,12,7,21,22,,,,,,
2016-17,E0,2016-09-24,00:00,2016-09-24 00:00:00,20160924_middlesbrough_tottenham,Middlesbrough,Tottenham,G Scott,1,2,A,0,2,0,0,1,3,1,6,19,2,5,14,9,2,10,2,1,0,0,12,3,25,23,,,,,,
2016-17,E0,2016-09-24,00:00,2016-09-24 00:00:00,20160924_sunderland_crystalpalace,Sunderland,Crystal Palace,A Taylor,2,3,A,1,0,0,0,1,5,1,11,20,4,4,15,12,3,5,0,2,0,0,8,2,31,27,,,,,,
2016-17,E0,2016-09-24,00:00,2016-09-24 00:00:00,20160924_liverpool_hull,Liverpool,Hull,A Marriner,5,1,H,3,0,1,0,0,6,1,32,2,12,1,8,8,13,2,1,2,0,1,15,4,34,16,,,,,,
2016-17,E0,2016-09-24,00:00,2016-09-24 00:00:00,20160924_arsenal_chelsea,Arsenal,Chelsea,M Oliver,3,0,H,3,0,1,0,0,3,1,14,9,5,2,9,11,9,1,0,2,0,0,10,2,23,20,,,,,,
2016-17,E0,2016-09-24,00:00,2016-09-24 00:00:00,20160924_manunited_leicester,Man United,Leicester,M Dean,4,1,H,4,0,1,0,0,5,1,16,10,7,3,9,12,8,6,0,2,0,0,14,2,26,21,,,,,,
2016-17,E0,2016-09-24,00:00,2016-09-24 00:00:00,20160924_bournemouth_everton,Bournemouth,Everton,R Madley,1,0,H,1,0,1,0,0,1,0,12,13,1,2,10,14,5,3,2,2,0,0,8,4,25,24,,,,,,
2016-17,E0,2016-09-25,00:00,2016-09-25 00:00:00,20160925_westham_southampton,West Ham,Southampton,J Moss,0,3,A,0,1,0,0,1,3,1,13,18,1,9,9,14,6,2,5,2,0,0,8,7,31,23,,,,,,
2016-17,E0,2016-09-26,00:00,2016-09-26 00:00:00,20160926_burnley_watford,Burnley,Watford,M Jones,2,0,H,1,0,1,0,0,2,0,13,12,4,3,11,15,7,6,1,3,0,0,13,4,25,26,,,,,,
2016-17,E0,2016-09-30,00:00,2016-09-30 00:00:00,20160930_everton_crystalpalace,Everton,Crystal Palace,J Moss,1,1,D,1,0,0,1,0,2,0,13,10,3,2,16,11,10,9,5,4,0,0,19,9,23,27,,,,,,
2016-17,E0,2016-10-01,00:00,2016-10-01 00:00:00,20161001_hull_chelsea,Hull,Chelsea,A Taylor,0,2,A,0,0,0,0,1,2,0,8,22,3,9,13,15,5,7,2,2,0,0,12,4,30,28,,,,,,
2016-17,E0,2016-10-01,00:00,2016-10-01 00:00:00,20161001_sunderland_westbrom,Sunderland,West Brom,S Attwell,1,1,D,0,1,0,1,0,2,0,7,17,2,7,7,13,6,5,1,3,0,0,11,4,24,20,,,,,,
2016-17,E0,2016-10-01,00:00,2016-10-01 00:00:00,20161001_swansea_liverpool,Swansea,Liverpool,M Oliver,1,2,A,1,0,0,0,1,3,1,8,18,3,6,11,9,3,10,2,2,0,0,13,4,26,20,,,,,,
2016-17,E0,2016-10-01,00:00,2016-10-01 00:00:00,20161001_watford_bournemouth,Watford,Bournemouth,M Dean,2,2,D,0,1,0,1,0,4,1,17,11,7,2,17,12,4,5,3,4,0,0,9,7,28,29,,,,,,
2016-17,E0,2016-10-01,00:00,2016-10-01 00:00:00,20161001_westham_middlesbrough,West Ham,Middlesbrough,N Swarbrick,1,1,D,0,0,0,1,0,2,0,19,9,2,3,13,12,4,5,2,3,0,0,9,5,28,25,,,,,,
2016-17,E0,2016-10-02,00:00,2016-10-02 00:00:00,20161002_tottenham_mancity,Tottenham,Man City,A Marriner,2,0,H,2,0,1,0,0,2,0,13,12,7,6,20,10,4,3,2,2,0,0,7,4,25,30,,,,,,
2016-17,E0,2016-10-02,00:00,2016-10-02 00:00:00,20161002_manunited_stoke,Man United,Stoke,R Madley,1,1,D,0,0,0,1,0,2,0,24,7,9,6,14,9,13,2,3,0,0,0,15,3,31,23,,,,,,
2016-17,E0,2016-10-02,00:00,2016-10-02 00:00:00,20161002_burnley_arsenal,Burnley,Arsenal,C Pawson,0,1,A,0,0,0,0,1,1,0,10,18,1,3,2,3,2,6,0,0,0,0,8,0,28,5,,,,,,
2016-17,E0,2016-10-02,00:00,2016-10-02 00:00:00,20161002_leicester_southampton,Leicester,Southampton,M Atkinson,0,0,D,0,0,0,1,0,0,0,9,11,1,5,9,9,3,6,1,0,0,0,9,1,20,18,,,,,,
2016-17,E0,2016-10-15,00:00,2016-10-15 00:00:00,20161015_bournemouth_hull,Bournemouth,Hull,L Mason,6,1,H,3,1,1,0,0,7,1,22,11,10,4,8,14,5,4,0,3,0,0,9,3,33,22,,,,,,
2016-17,E0,2016-10-15,00:00,2016-10-15 00:00:00,20161015_chelsea_leicester,Chelsea,Leicester,A Marriner,3,0,H,2,0,1,0,0,3,1,16,5,6,0,6,12,8,5,1,1,0,0,13,2,21,18,,,,,,
2016-17,E0,2016-10-15,00:00,2016-10-15 00:00:00,20161015_crystalpalace_westham,Crystal Palace,West Ham,M Atkinson,0,1,A,0,1,0,0,1,1,0,12,12,3,4,12,13,7,6,1,3,0,1,13,5,24,25,,,,,,
2016-17,E0,2016-10-15,00:00,2016-10-15 00:00:00,20161015_mancity_everton,Man City,Everton,M Oliver,1,1,D,0,0,0,1,0,2,0,19,3,8,2,7,9,13,1,0,2,0,0,14,2,22,16,,,,,,
2016-17,E0,2016-10-15,00:00,2016-10-15 00:00:00,20161015_stoke_sunderland,Stoke,Sunderland,M Jones,2,0,H,2,0,1,0,0,2,0,18,11,6,1,10,13,6,4,1,1,0,0,10,2,29,23,,,,,,
2016-17,E0,2016-10-15,00:00,2016-10-15 00:00:00,20161015_westbrom_tottenham,West Brom,Tottenham,K Friend,1,1,D,0,0,0,1,0,2,0,8,20,4,8,14,10,5,8,2,2,0,0,13,4,28,24,,,,,,
2016-17,E0,2016-10-15,00:00,2016-10-15 00:00:00,20161015_arsenal_swansea,Arsenal,Swansea,J Moss,3,2,H,2,1,1,0,0,5,1,16,13,6,6,7,10,5,6,0,1,1,0,11,2,29,17,,,,,,
2016-17,E0,2016-10-16,00:00,2016-10-16 00:00:00,20161016_middlesbrough_watford,Middlesbrough,Watford,R East,0,1,A,0,0,0,0,1,1,0,10,4,3,2,15,10,4,6,4,1,0,0,10,5,14,25,,,,,,
2016-17,E0,2016-10-16,00:00,2016-10-16 00:00:00,20161016_southampton_burnley,Southampton,Burnley,M Dean,3,1,H,0,0,1,0,0,4,1,34,6,14,1,11,10,8,4,1,2,0,0,12,3,40,21,,,,,,
2016-17,E0,2016-10-17,00:00,2016-10-17 00:00:00,20161017_liverpool_manunited,Liverpool,Man United,A Taylor,0,0,D,0,0,0,1,0,0,0,9,7,3,1,14,20,3,1,0,4,0,0,4,4,16,34,,,,,,
2016-17,E0,2016-10-22,00:00,2016-10-22 00:00:00,20161022_leicester_crystalpalace,Leicester,Crystal Palace,M Oliver,3,1,H,1,0,1,0,0,4,1,17,23,4,7,10,8,8,8,0,0,0,0,16,0,40,18,,,,,,
2016-17,E0,2016-10-22,00:00,2016-10-22 00:00:00,20161022_westham_sunderland,West Ham,Sunderland,R Madley,1,0,H,0,0,1,0,0,1,0,20,10,3,2,10,13,6,2,2,5,0,0,8,7,30,23,,,,,,
2016-17,E0,2016-10-22,00:00,2016-10-22 00:00:00,20161022_swansea_watford,Swansea,Watford,P Tierney,0,0,D,0,0,0,1,0,0,0,11,10,5,2,15,16,7,2,2,1,0,0,9,3,21,31,,,,,,
2016-17,E0,2016-10-22,00:00,2016-10-22 00:00:00,20161022_liverpool_westbrom,Liverpool,West Brom,N Swarbrick,2,1,H,2,0,1,0,0,3,1,21,6,7,1,9,13,3,2,1,3,0,0,5,4,27,22,,,,,,
2016-17,E0,2016-10-22,00:00,2016-10-22 00:00:00,20161022_hull_stoke,Hull,Stoke,K Friend,0,2,A,0,1,0,0,1,2,0,9,12,2,6,16,8,5,7,2,3,0,0,12,5,21,24,,,,,,
2016-17,E0,2016-10-22,00:00,2016-10-22 00:00:00,20161022_bournemouth_tottenham,Bournemouth,Tottenham,C Pawson,0,0,D,0,0,0,1,0,0,0,8,16,1,4,10,15,7,4,2,4,0,0,11,6,24,25,,,,,,
2016-17,E0,2016-10-22,00:00,2016-10-22 00:00:00,20161022_arsenal_middlesbrough,Arsenal,Middlesbrough,M Dean,0,0,D,0,0,0,1,0,0,0,9,11,5,4,6,13,8,3,1,0,0,0,11,1,20,19,,,,,,
