Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,AvgH,AvgD,AvgA,MaxH,MaxD,MaxA,kickoff,match_id,home_win,draw,away_win,total_goals,over_2_5,total_corners,total_cards,total_shots,total_fouls
E0,2024-09-28,15:00,Chelsea,Brighton,4,2,H,4,2,15,15,7,5,11,8,8,2,3,2,0,0,1.74,4.23,4.35,1.77,4.35,4.5,2024-09-28 15:00:00,20240928_chelsea_brighton,1,0,0,6,1,10,5,30,19
E0,2024-09-28,15:00,Nott'm Forest,Fulham,0,1,A,0,0,11,14,1,2,11,15,6,5,2,4,0,0,2.4,3.34,3.07,2.51,3.52,3.23,2024-09-28 15:00:00,20240928_nott'mforest_fulham,0,0,1,1,0,11,6,25,26
E0,2024-09-28,15:00,Arsenal,Leicester,4,2,H,2,0,36,5,16,3,11,6,17,0,2,4,0,0,1.18,7.82,15.12,1.21,8.8,18.0,2024-09-28 15:00:00,20240928_arsenal_leicester,1,0,0,6,1,17,6,41,17
E0,2024-09-28,15:00,Brentford,West Ham,1,1,D,1,0,8,19,3,3,2,11,7,7,2,3,0,0,2.23,3.62,3.16,2.27,3.82,3.26,2024-09-28 15:00:00,20240928_brentford_westham,0,1,0,2,0,14,5,27,13
E0,2024-09-28,17:30,Wolves,Liverpool,1,2,A,0,1,8,10,3,6,16,8,2,10,2,3,0,0,8.05,5.55,1.35,8.5,5.9,1.38,2024-09-28 17:30:00,20240928_wolves_liverpool,0,0,1,3,1,12,5,18,24
E0,2024-09-29,14:00,Ipswich,Aston Villa,2,2,D,1,2,15,7,5,3,10,14,10,0,4,1,0,0,4.15,3.77,1.87,4.4,4.0,1.91,2024-09-29 14:00:00,20240929_ipswich_astonvilla,0,1,0,4,1,10,5,22,24
E0,2024-09-29,16:30,Man United,Tottenham,0,3,A,0,1,11,24,2,10,16,14,5,3,5,3,1,0,2.36,3.89,2.77,2.42,4.13,2.8,2024-09-29 16:30:00,20240929_manunited_tottenham,0,0,1,3,1,8,9,35,30
E0,2024-09-30,20:00,Bournemouth,Southampton,3,1,H,3,0,14,9,6,3,19,12,7,4,2,5,0,0,1.65,4.29,4.91,1.68,4.53,5.25,2024-09-30 20:00:00,20240930_bournemouth_southampton,1,0,0,4,1,11,7,23,31
E0,2024-10-05,12:30,Crystal Palace,Liverpool,0,1,A,0,1,9,16,5,4,7,15,3,8,4,2,0,0,6.36,4.65,1.49,6.67,4.9,1.52,2024-10-05 12:30:00,20241005_crystalpalace_liverpool,0,0,1,1,0,11,6,25,22
E0,2024-10-05,15:00,West Ham,Ipswich,4,1,H,2,1,23,9,13,2,12,6,5,5,0,1,0,0,1.8,3.96,4.25,1.86,4.1,4.45,2024-10-05 15:00:00,20241005_westham_ipswich,1,0,0,5,1,10,1,32,18
E0,2024-10-05,15:00,Arsenal,Southampton,3,1,H,0,0,29,8,6,2,10,9,13,1,0,3,0,0,1.14,9.2,18.63,1.16,10.0,21.0,2024-10-05 15:00:00,20241005_arsenal_southampton,1,0,0,4,1,14,3,37,19
E0,2024-10-05,15:00,Brentford,Wolves,5,3,H,4,2,19,17,12,6,9,10,10,3,2,3,0,0,2.09,3.64,3.47,2.14,3.75,3.7,2024-10-05 15:00:00,20241005_brentford_wolves,1,0,0,8,1,13,5,36,19
E0,2024-10-05,15:00,Leicester,Bournemouth,1,0,H,1,0,6,17,2,2,12,14,0,9,4,1,0,0,3.24,3.66,2.17,3.4,3.81,2.22,2024-10-05 15:00:00,20241005_leicester_bournemouth,1,0,0,1,0,9,5,23,26
E0,2024-10-05,15:00,Man City,Fulham,3,2,H,1,1,20,11,7,4,4,10,8,3,2,1,0,0,1.24,6.85,11.11,1.27,7.6,12.0,2024-10-05 15:00:00,20241005_mancity_fulham,1,0,0,5,1,11,3,31,14
E0,2024-10-05,17:30,Everton,Newcastle,0,0,D,0,0,8,14,2,3,12,8,0,10,1,2,0,0,3.15,3.62,2.23,3.25,3.77,2.29,2024-10-05 17:30:00,20241005_everton_newcastle,0,1,0,0,0,10,3,22,20
E0,2024-10-06,14:00,Chelsea,Nott'm Forest,1,1,D,0,0,22,16,8,9,12,11,11,3,6,2,0,1,1.48,4.73,6.32,1.52,4.95,7.0,2024-10-06 14:00:00,20241006_chelsea_nott'mforest,0,1,0,2,0,14,9,38,23
E0,2024-10-06,14:00,Aston Villa,Man United,0,0,D,0,0,11,10,1,4,12,11,6,3,1,5,0,0,2.21,3.82,3.06,2.25,3.99,3.2,2024-10-06 14:00:00,20241006_astonvilla_manunited,0,1,0,0,0,9,6,21,23
E0,2024-10-06,16:30,Brighton,Tottenham,3,2,H,0,2,11,13,4,3,14,10,4,7,2,2,0,0,2.9,4.01,2.23,2.99,4.18,2.28,2024-10-06 16:30:00,20241006_brighton_tottenham,1,0,0,5,1,11,4,24,24
E0,2024-10-19,12:30,Tottenham,West Ham,4,1,H,1,1,22,11,7,4,10,15,13,5,1,3,0,1,1.5,4.91,5.73,1.54,5.1,6.0,2024-10-19 12:30:00,20241019_tottenham_westham,1,0,0,5,1,18,5,33,25
E0,2024-10-19,15:00,Fulham,Aston Villa,1,3,A,1,1,10,14,4,5,8,11,6,11,3,3,1,1,2.44,3.5,2.89,2.5,3.71,2.98,2024-10-19 15:00:00,20241019_fulham_astonvilla,0,0,1,4,1,17,8,24,19
